Member,Order,SKU,Date,Description
M09736,6468572,34993740,2014-09-22,Other Sauces
M09736,6468572,15669800,2014-09-22,Cashews
M09736,6468572,34989501,2014-09-22,Other Dals
M09736,6468572,7572303,2014-09-22,Namkeen
M09736,6468572,15669856,2014-09-22,Sugar
M09736,6468572,15668478,2014-09-22,Banana
M09736,6468572,21409124,2014-09-22,Sugar Cubes
M09736,6468572,34938526,2014-09-22,Other Sweets
M09736,6468572,15669778,2014-09-22,Other Dals
M09736,6468572,34989440,2014-09-22,Other Rice Products
M09736,6468572,15669830,2014-09-22,Other Rice Products
M09736,6468572,7569799,2014-09-22,Namkeen
M09736,6486475,34991046,2014-09-28,Utensil Scrub Pads
M09736,6486475,15669830,2014-09-28,Other Rice Products
M09736,6486475,15669878,2014-09-28,Toor Dal
M09736,6486475,34991191,2014-09-28,Buns & Pavs
M09736,6486475,7585573,2014-09-28,Cakes
M09736,6486475,34989501,2014-09-28,Other Dals
M09736,6486475,15669789,2014-09-28,Boiled Rice
M09736,6504964,15669767,2014-09-14,Urad Dal
M09736,6504964,15669789,2014-09-14,Boiled Rice
M09736,6504964,15669814,2014-09-14,Jaggery
M09736,6504964,15669778,2014-09-14,Other Dals
M09736,6504964,15669865,2014-09-14,Other Dals
M09736,6504964,15669965,2014-09-14,Raisins
M09736,6504964,34934493,2014-09-14,Chips
M09736,6504964,34989501,2014-09-14,Other Dals
M09736,6504964,15669811,2014-09-14,Almonds
M09736,6529569,15669780,2014-04-09,Sugar
M09736,6529569,15669814,2014-04-09,Jaggery
M09736,6529569,15668465,2014-04-09,Root Vegetables
M09736,6529569,7585573,2014-04-09,Cakes
M09736,6529569,15669767,2014-04-09,Urad Dal
M09736,6529569,7572303,2014-04-09,Namkeen
M09736,6529569,15668381,2014-04-09,Other Vegetables
M09736,6529569,15669869,2014-04-09,Moong Dal
M09736,6529569,15668478,2014-04-09,Banana
M09736,6529569,15669865,2014-04-09,Other Dals
M09736,6529569,15669965,2014-04-09,Raisins
M09736,6529569,15669878,2014-04-09,Toor Dal
M09736,6529569,15669800,2014-04-09,Cashews
M09736,6529569,15669804,2014-04-09,Cashews
M09736,6529569,92388181,2014-04-09,Healthy Snacks
M09736,6549521,15668478,2014-09-09,Banana
M09736,6549521,15669800,2014-09-09,Cashews
M09736,6549521,34989440,2014-09-09,Other Rice Products
M09736,6549521,15669972,2014-09-09,Cashews
M09736,6549521,15669803,2014-09-09,Cashews
M09736,6549521,15669861,2014-09-09,Raw Peanuts
M09736,6549521,21409124,2014-09-09,Sugar Cubes
M09736,6562518,15669830,2014-08-26,Other Rice Products
M09736,6562518,21409002,2014-08-26,Moong Dal
M09736,6562518,34993978,2014-08-26,Mosquito Repellent
M09736,6562518,34989440,2014-08-26,Other Rice Products
M09736,6562518,15669789,2014-08-26,Boiled Rice
M09736,6562518,15669778,2014-08-26,Other Dals
M09736,6562518,15669884,2014-08-26,Whole Spices
M09736,6562518,15669856,2014-08-26,Sugar
M09736,6562518,21409124,2014-08-26,Sugar Cubes
M09736,6562518,29247229,2014-08-26,Whole Spices
M09736,6562518,15669777,2014-08-26,Urad Dal
M09736,6562518,29247171,2014-08-26,Whole Spices
M09736,6562518,34989441,2014-08-26,Soya Products
M09736,6562518,15668467,2014-08-26,Beans
M09736,6562518,34989501,2014-08-26,Other Dals
M09736,6562518,15668379,2014-08-26,Other Vegetables
M09736,6596905,21409002,2014-08-17,Moong Dal
M09736,6596905,7572303,2014-08-17,Namkeen
M09736,6596905,15668685,2014-08-17,Beans
M09736,6596905,7753739,2014-08-17,Health Drinks
M09736,6596905,15668478,2014-08-17,Banana
M09736,6596905,7623116,2014-08-17,Liquid Soaps & Bars
M09736,6596905,21409124,2014-08-17,Sugar Cubes
M09736,6596905,15669859,2014-08-17,Toor Dal
M09736,6596905,92436826,2014-08-17,Washing Bars
M09736,6596905,15668377,2014-08-17,Root Vegetables
M09736,6596905,15669865,2014-08-17,Other Dals
M09736,6596905,15669789,2014-08-17,Boiled Rice
M09736,6596905,15669790,2014-08-17,Other Rice Products
M09736,6596905,34989440,2014-08-17,Other Rice Products
M09736,6612806,34994208,2014-08-22,Chips
M09736,6612806,7572303,2014-08-22,Namkeen
M09736,6612806,7561691,2014-08-22,Namkeen
M09736,6612806,15668375,2014-08-22,Root Vegetables
M09736,6612806,15669856,2014-08-22,Sugar
M09736,6612806,7569799,2014-08-22,Namkeen
M09736,6612806,7624788,2014-08-22,Ghee
M09736,6612806,15668478,2014-08-22,Banana
M09736,6612806,92388181,2014-08-22,Healthy Snacks
M09736,6624000,15670245,2014-06-08,Organic F&V
M09736,6624000,7580802,2014-06-08,Sunflower Oils
M09736,6624000,34989440,2014-06-08,Other Rice Products
M09736,6624000,7572303,2014-06-08,Namkeen
M09736,6624000,15668478,2014-06-08,Banana
M09736,6624000,21409124,2014-06-08,Sugar Cubes
M09736,6638454,15669830,2014-10-08,Other Rice Products
M09736,6638454,7572303,2014-10-08,Namkeen
M09736,6638454,15668688,2014-10-08,Root Vegetables
M09736,6638454,15668685,2014-10-08,Beans
M09736,6638454,15669856,2014-10-08,Sugar
M09736,6638454,15669789,2014-10-08,Boiled Rice
M09736,6638454,15668478,2014-10-08,Banana
M09736,6638454,15669767,2014-10-08,Urad Dal
M09736,6656240,15669965,2014-07-28,Raisins
M09736,6656240,7570594,2014-07-28,Shoe Polish
M09736,6656240,15668478,2014-07-28,Banana
M09736,6656240,7572303,2014-07-28,Namkeen
M09736,6656240,15669970,2014-07-28,Cashews
M09736,6656240,15668381,2014-07-28,Other Vegetables
M09736,6656240,15668685,2014-07-28,Beans
